"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-21","0.00","0.0","0.0",,"27","21"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-22","0.15","1.1","1.0",,"34","21"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-23","0.00","0.0","0.0",,"31","25"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-24","0.00","0.0","0.0",,"37","23"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-25","0.00","0.0","0.0",,"41","20"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-26","0.86","0.0","0.0",,"35","30"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-27","0.35","1.8","0.0",,"34","31"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-02-28","0.03","0.5","1.0",,"37","31"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-01","0.00","0.0","0.0",,"33","26"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-02","0.00","0.1","0.0",,"31","25"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-03","0.00","0.0","0.0",,"33","22"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-04","0.04","0.6","0.0",,"37","17"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-05","0.88","9.0","1.0",,"32","28"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-06","0.10","1.4","10.0",,"33","25"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-07","0.00","0.0","8.0",,"38","30"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-08","0.00","0.0","4.0",,"36","17"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-09","0.04","0.0","3.0",,"40","21"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-10","0.02","0.0","1.0",,"58","37"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-11","0.46","0.1","0.0",,"54","33"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-12","0.01","0.2","0.0",,"36","30"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-13","0.00","0.1","0.0",,"31","24"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-14","0.00","0.0","0.0",,"41","22"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-15","0.19","0.0","0.0",,"47","29"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-16","0.00","0.0","0.0",,"41","32"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-17","0.00","0.0","0.0",,"35","28"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-18","0.08","0.2","0.0",,"36","28"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-19","0.00","0.0","0.0",,"35","22"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-20","0.01","0.4","0.0",,"29","19"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-21","0.01","0.4","1.0",,"34","11"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-22","0.00","0.0","0.0",,"41","19"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-23","0.00","0.0","0.0",,"46","25"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-24","0.21","2.3","2.0",,"37","27"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-25","0.29","3.3","4.0",,"36","28"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-26","0.00","0.0","3.0",,"40","32"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-27","0.00","0.0","0.0",,"41","29"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-28","0.00","0.0","0.0",,"49","26"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-29","0.00","0.0","0.0",,"52","27"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-30","0.00","0.0","0.0",,"55","27"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-03-31","0.00","0.0","0.0",,"60","38"
